,dawka_1,dawka_2,dostawa,grupa,marka,denom,location,week2,year2,date
30853,0,0,0.0,ALL,MOD,945809.0,Podlaskie,52,2020,2020-12-21
30854,0,0,0.0,ALL,AZ,2026852.0,Łódzkie,52,2020,2020-12-21
30855,0,0,0.0,ALL,MOD,1141615.0,Warmińsko-Mazurskie,52,2020,2020-12-21
30856,0,0,0.0,ALL,MOD,3705960.0,Śląskie,52,2020,2020-12-21
30857,0,0,0.0,ALL,AZ,1719530.0,Lubelskie,52,2020,2020-12-21
30858,0,0,0.0,ALL,JANSS,2371693.0,Dolnośląskie,52,2020,2020-12-21
30859,189,0,0.0,ALL,COM,2725922.0,Małopolskie,52,2020,2020-12-21
30860,0,0,0.0,ALL,JANSS,786355.0,Opolskie,52,2020,2020-12-21
30861,0,0,0.0,ALL,JANSS,1701879.0,Podkarpackie,52,2020,2020-12-21
30862,0,0,0.0,ALL,MOD,1701879.0,Podkarpackie,52,2020,2020-12-21
30863,309,0,0.0,ALL,COM,1719530.0,Lubelskie,52,2020,2020-12-21
30864,0,0,0.0,ALL,MOD,1016552.0,Świętokrzyskie,52,2020,2020-12-21
30865,0,0,0.0,ALL,AZ,1381726.0,Zachodniopomorskie,52,2020,2020-12-21
30866,0,0,0.0,ALL,JANSS,31044901.0,Polska,52,2020,2020-12-21
30867,34,0,0.0,ALL,COM,1701879.0,Podkarpackie,52,2020,2020-12-21
30868,0,0,0.0,ALL,AZ,1141615.0,Warmińsko-Mazurskie,52,2020,2020-12-21
30869,0,0,0.0,ALL,MOD,1856577.0,Pomorskie,52,2020,2020-12-21
30870,0,0,0.0,ALL,JANSS,1679966.0,Kujawsko-Pomorskie,52,2020,2020-12-21
30871,0,0,0.0,ALL,AZ,1679966.0,Kujawsko-Pomorskie,52,2020,2020-12-21
30872,0,0,0.0,ALL,AZ,4381866.0,Mazowieckie,52,2020,2020-12-21
30873,150,0,0.0,ALL,COM,1679966.0,Kujawsko-Pomorskie,52,2020,2020-12-21
30874,0,0,0.0,ALL,JANSS,2725922.0,Małopolskie,52,2020,2020-12-21
30875,0,0,0.0,ALL,JANSS,2803093.0,Wielkopolskie,52,2020,2020-12-21
30876,0,0,0.0,ALL,AZ,1016552.0,Świętokrzyskie,52,2020,2020-12-21
30877,0,0,0.0,ALL,JANSS,1141615.0,Warmińsko-Mazurskie,52,2020,2020-12-21
30878,0,0,0.0,ALL,MOD,2803093.0,Wielkopolskie,52,2020,2020-12-21
30879,0,0,0.0,ALL,AZ,2371693.0,Dolnośląskie,52,2020,2020-12-21
30880,152,0,0.0,ALL,COM,1141615.0,Warmińsko-Mazurskie,52,2020,2020-12-21
30881,0,0,0.0,ALL,AZ,1701879.0,Podkarpackie,52,2020,2020-12-21
30882,0,0,0.0,ALL,JANSS,3705960.0,Śląskie,52,2020,2020-12-21
30883,2216,0,9750.0,ALL,COM,31044901.0,Polska,52,2020,2020-12-21
30884,0,0,0.0,ALL,JANSS,819729.0,Lubuskie,52,2020,2020-12-21
30885,61,0,0.0,ALL,COM,945809.0,Podlaskie,52,2020,2020-12-21
30886,0,0,0.0,ALL,AZ,786355.0,Opolskie,52,2020,2020-12-21
30887,20,0,0.0,ALL,COM,1381726.0,Zachodniopomorskie,52,2020,2020-12-21
30888,0,0,0.0,ALL,JANSS,1381726.0,Zachodniopomorskie,52,2020,2020-12-21
30889,0,0,0.0,ALL,MOD,786355.0,Opolskie,52,2020,2020-12-21
30890,0,0,0.0,ALL,MOD,2725922.0,Małopolskie,52,2020,2020-12-21
30891,30,0,0.0,ALL,COM,786355.0,Opolskie,52,2020,2020-12-21
30892,55,0,0.0,ALL,COM,2803093.0,Wielkopolskie,52,2020,2020-12-21
30893,0,0,0.0,ALL,AZ,819729.0,Lubuskie,52,2020,2020-12-21
30894,185,0,0.0,ALL,COM,3705960.0,Śląskie,52,2020,2020-12-21
30895,0,0,0.0,ALL,MOD,1381726.0,Zachodniopomorskie,52,2020,2020-12-21
30896,95,0,0.0,ALL,COM,1856577.0,Pomorskie,52,2020,2020-12-21
30897,0,0,0.0,ALL,AZ,2803093.0,Wielkopolskie,52,2020,2020-12-21
30898,0,0,0.0,ALL,MOD,31044901.0,Polska,52,2020,2020-12-21
30899,15,0,0.0,ALL,COM,1016552.0,Świętokrzyskie,52,2020,2020-12-21
30900,0,0,0.0,ALL,AZ,31044901.0,Polska,52,2020,2020-12-21
30901,0,0,0.0,ALL,MOD,1679966.0,Kujawsko-Pomorskie,52,2020,2020-12-21
30902,0,0,0.0,ALL,AZ,1856577.0,Pomorskie,52,2020,2020-12-21
30903,0,0,0.0,ALL,JANSS,1719530.0,Lubelskie,52,2020,2020-12-21
30904,0,0,0.0,ALL,MOD,819729.0,Lubuskie,52,2020,2020-12-21
30905,0,0,0.0,ALL,MOD,1719530.0,Lubelskie,52,2020,2020-12-21
30906,0,0,0.0,ALL,MOD,2026852.0,Łódzkie,52,2020,2020-12-21
30907,332,0,0.0,ALL,COM,4381866.0,Mazowieckie,52,2020,2020-12-21
30908,0,0,0.0,ALL,JANSS,1016552.0,Świętokrzyskie,52,2020,2020-12-21
30909,0,0,0.0,ALL,JANSS,2026852.0,Łódzkie,52,2020,2020-12-21
30910,0,0,0.0,ALL,AZ,2725922.0,Małopolskie,52,2020,2020-12-21
30911,0,0,0.0,ALL,JANSS,4381866.0,Mazowieckie,52,2020,2020-12-21
30912,0,0,0.0,ALL,AZ,3705960.0,Śląskie,52,2020,2020-12-21
30913,258,0,0.0,ALL,COM,2026852.0,Łódzkie,52,2020,2020-12-21
30914,0,0,0.0,ALL,MOD,2371693.0,Dolnośląskie,52,2020,2020-12-21
30915,124,0,0.0,ALL,COM,819729.0,Lubuskie,52,2020,2020-12-21
30916,0,0,0.0,ALL,AZ,945809.0,Podlaskie,52,2020,2020-12-21
30917,0,0,0.0,ALL,MOD,4381866.0,Mazowieckie,52,2020,2020-12-21
30918,0,0,0.0,ALL,JANSS,945809.0,Podlaskie,52,2020,2020-12-21
30919,207,0,0.0,ALL,COM,2371693.0,Dolnośląskie,52,2020,2020-12-21
30920,0,0,0.0,ALL,JANSS,1856577.0,Pomorskie,52,2020,2020-12-21
30921,0,0,0.0,Age18_24,AZ,73609.0,Lubuskie,52,2020,2020-12-21
30922,0,0,0.0,Age18_24,AZ,363843.0,Mazowieckie,52,2020,2020-12-21
30923,0,0,0.0,Age18_24,COM,120140.0,Zachodniopomorskie,52,2020,2020-12-21
30924,0,0,0.0,Age18_24,MOD,189725.0,Dolnośląskie,52,2020,2020-12-21
30925,0,0,0.0,Age18_24,MOD,299728.0,Śląskie,52,2020,2020-12-21
30926,0,0,0.0,Age18_24,AZ,109948.0,Warmińsko-Mazurskie,52,2020,2020-12-21
30927,0,0,0.0,Age18_24,JANSS,299728.0,Śląskie,52,2020,2020-12-21
30928,0,0,0.0,Age18_24,AZ,120140.0,Zachodniopomorskie,52,2020,2020-12-21
30929,0,0,0.0,Age18_24,AZ,163186.0,Lubelskie,52,2020,2020-12-21
30930,0,0,0.0,Age18_24,AZ,91866.0,Świętokrzyskie,52,2020,2020-12-21
30931,11,0,0.0,Age18_24,COM,363843.0,Mazowieckie,52,2020,2020-12-21
30932,0,0,0.0,Age18_24,JANSS,73609.0,Lubuskie,52,2020,2020-12-21
30933,0,0,0.0,Age18_24,MOD,88801.0,Podlaskie,52,2020,2020-12-21
30934,0,0,0.0,Age18_24,AZ,189725.0,Dolnośląskie,52,2020,2020-12-21
30935,0,0,0.0,Age18_24,MOD,363843.0,Mazowieckie,52,2020,2020-12-21
30936,0,0,0.0,Age18_24,AZ,169826.0,Łódzkie,52,2020,2020-12-21
30937,1,0,0.0,Age18_24,COM,170066.0,Podkarpackie,52,2020,2020-12-21
30938,0,0,0.0,Age18_24,AZ,170066.0,Podkarpackie,52,2020,2020-12-21
30939,0,0,0.0,Age18_24,JANSS,169826.0,Łódzkie,52,2020,2020-12-21
30940,0,0,0.0,Age18_24,JANSS,363843.0,Mazowieckie,52,2020,2020-12-21
30941,0,0,0.0,Age18_24,JANSS,171036.0,Pomorskie,52,2020,2020-12-21
30942,1,0,0.0,Age18_24,COM,67721.0,Opolskie,52,2020,2020-12-21
30943,0,0,0.0,Age18_24,MOD,169826.0,Łódzkie,52,2020,2020-12-21
30944,0,0,0.0,Age18_24,AZ,257651.0,Wielkopolskie,52,2020,2020-12-21
30945,0,0,0.0,Age18_24,AZ,67721.0,Opolskie,52,2020,2020-12-21
30946,0,0,0.0,Age18_24,AZ,88801.0,Podlaskie,52,2020,2020-12-21
30947,2,0,0.0,Age18_24,COM,109948.0,Warmińsko-Mazurskie,52,2020,2020-12-21
30948,0,0,0.0,Age18_24,AZ,257295.0,Małopolskie,52,2020,2020-12-21
30949,0,0,0.0,Age18_24,MOD,67721.0,Opolskie,52,2020,2020-12-21
30950,0,0,0.0,Age18_24,MOD,2754264.0,Polska,52,2020,2020-12-21
30951,1,0,0.0,Age18_24,COM,171036.0,Pomorskie,52,2020,2020-12-21
30952,5,0,0.0,Age18_24,COM,257295.0,Małopolskie,52,2020,2020-12-21
30953,0,0,0.0,Age18_24,JANSS,170066.0,Podkarpackie,52,2020,2020-12-21
30954,0,0,0.0,Age18_24,COM,163186.0,Lubelskie,52,2020,2020-12-21
30955,0,0,0.0,Age18_24,MOD,120140.0,Zachodniopomorskie,52,2020,2020-12-21
