date,year,total,age,short,location
2011-01-03,2011,10.0,Y_LT20,PL9,mazowieckie
2011-01-03,2011,0.0,UNK,PL81,lubelskie
2011-01-03,2011,0.0,UNK,PL82,podkarpackie
2011-01-03,2011,0.0,UNK,PL84,podlaskie
2011-01-03,2011,0.0,UNK,PL9,mazowieckie
2011-01-03,2011,192.0,Y20-39,PL,Polska
2011-01-03,2011,17.0,Y20-39,PL21,małopolskie
2011-01-03,2011,25.0,Y20-39,PL22,śląskie
2011-01-03,2011,14.0,Y20-39,PL41,wielkopolskie
2011-01-03,2011,5.0,Y20-39,PL42,zachodniopomorskie
2011-01-03,2011,4.0,Y20-39,PL43,lubuskie
2011-01-03,2011,12.0,Y20-39,PL51,dolnośląskie
2011-01-03,2011,5.0,Y20-39,PL52,opolskie
2011-01-03,2011,0.0,UNK,PL72,świętokrzyskie
2011-01-03,2011,13.0,Y20-39,PL61,kujawsko-pomorskie
2011-01-03,2011,8.0,Y20-39,PL63,pomorskie
2011-01-03,2011,19.0,Y20-39,PL71,łódzkie
2011-01-03,2011,7.0,Y20-39,PL72,świętokrzyskie
2011-01-03,2011,14.0,Y20-39,PL81,lubelskie
2011-01-03,2011,7.0,Y20-39,PL82,podkarpackie
2011-01-03,2011,4.0,Y20-39,PL84,podlaskie
2011-01-03,2011,30.0,Y20-39,PL9,mazowieckie
2011-01-03,2011,1363.0,Y40-59,PL,Polska
2011-01-03,2011,97.0,Y40-59,PL21,małopolskie
2011-01-03,2011,186.0,Y40-59,PL22,śląskie
2011-01-03,2011,98.0,Y40-59,PL41,wielkopolskie
2011-01-03,2011,67.0,Y40-59,PL42,zachodniopomorskie
2011-01-03,2011,8.0,Y20-39,PL62,warmińsko-mazurskie
2011-01-03,2011,47.0,Y40-59,PL43,lubuskie
2011-01-03,2011,0.0,UNK,PL71,łódzkie
2011-01-03,2011,0.0,UNK,PL62,warmińsko-mazurskie
2011-01-03,2011,8015.0,TOTAL,PL,Polska
2011-01-03,2011,636.0,TOTAL,PL21,małopolskie
2011-01-03,2011,1065.0,TOTAL,PL22,śląskie
2011-01-03,2011,666.0,TOTAL,PL41,wielkopolskie
2011-01-03,2011,370.0,TOTAL,PL42,zachodniopomorskie
2011-01-03,2011,198.0,TOTAL,PL43,lubuskie
2011-01-03,2011,608.0,TOTAL,PL51,dolnośląskie
2011-01-03,2011,208.0,TOTAL,PL52,opolskie
2011-01-03,2011,420.0,TOTAL,PL61,kujawsko-pomorskie
2011-01-03,2011,280.0,TOTAL,PL62,warmińsko-mazurskie
2011-01-03,2011,391.0,TOTAL,PL63,pomorskie
2011-01-03,2011,678.0,TOTAL,PL71,łódzkie
2011-01-03,2011,0.0,UNK,PL63,pomorskie
2011-01-03,2011,288.0,TOTAL,PL72,świętokrzyskie
2011-01-03,2011,349.0,TOTAL,PL82,podkarpackie
2011-01-03,2011,239.0,TOTAL,PL84,podlaskie
2011-01-03,2011,1161.0,TOTAL,PL9,mazowieckie
2011-01-03,2011,0.0,UNK,PL,Polska
2011-01-03,2011,0.0,UNK,PL21,małopolskie
2011-01-03,2011,0.0,UNK,PL22,śląskie
2011-01-03,2011,0.0,UNK,PL41,wielkopolskie
2011-01-03,2011,0.0,UNK,PL42,zachodniopomorskie
2011-01-03,2011,0.0,UNK,PL43,lubuskie
2011-01-03,2011,0.0,UNK,PL51,dolnośląskie
2011-01-03,2011,0.0,UNK,PL52,opolskie
2011-01-03,2011,0.0,UNK,PL61,kujawsko-pomorskie
2011-01-03,2011,458.0,TOTAL,PL81,lubelskie
2011-01-03,2011,113.0,Y40-59,PL51,dolnośląskie
2011-01-03,2011,4.0,Y_LT20,PL84,podlaskie
2011-01-03,2011,87.0,Y40-59,PL61,kujawsko-pomorskie
2011-01-03,2011,233.0,Y_GE80,PL51,dolnośląskie
2011-01-03,2011,87.0,Y_GE80,PL52,opolskie
2011-01-03,2011,147.0,Y_GE80,PL61,kujawsko-pomorskie
2011-01-03,2011,100.0,Y_GE80,PL62,warmińsko-mazurskie
2011-01-03,2011,122.0,Y_GE80,PL63,pomorskie
2011-01-03,2011,270.0,Y_GE80,PL71,łódzkie
2011-01-03,2011,130.0,Y_GE80,PL72,świętokrzyskie
2011-01-03,2011,207.0,Y_GE80,PL81,lubelskie
2011-01-03,2011,137.0,Y_GE80,PL82,podkarpackie
2011-01-03,2011,112.0,Y_GE80,PL84,podlaskie
2011-01-03,2011,483.0,Y_GE80,PL9,mazowieckie
2011-01-03,2011,70.0,Y_LT20,PL,Polska
2011-01-03,2011,71.0,Y_GE80,PL43,lubuskie
2011-01-03,2011,7.0,Y_LT20,PL21,małopolskie
2011-01-03,2011,3.0,Y_LT20,PL41,wielkopolskie
2011-01-03,2011,6.0,Y_LT20,PL42,zachodniopomorskie
2011-01-03,2011,2.0,Y_LT20,PL43,lubuskie
2011-01-03,2011,6.0,Y_LT20,PL51,dolnośląskie
2011-01-03,2011,0.0,Y_LT20,PL52,opolskie
2011-01-03,2011,8.0,Y_LT20,PL61,kujawsko-pomorskie
2011-01-03,2011,3.0,Y_LT20,PL62,warmińsko-mazurskie
2011-01-03,2011,4.0,Y_LT20,PL63,pomorskie
2011-01-03,2011,0.0,Y_LT20,PL71,łódzkie
2011-01-03,2011,3.0,Y_LT20,PL72,świętokrzyskie
2011-01-03,2011,2.0,Y_LT20,PL81,lubelskie
2011-01-03,2011,7.0,Y_LT20,PL82,podkarpackie
