JPT,powiat,70+ lat,12-19 lat,20-39 lat,40-59 lat,60-69 lat,population,total_full,percent full,total_1d,nazwa,wojew,typ_p
JPT_0608022,lubartowski,354,52,278,461,304,4029,1300,"32,3",1449,Abramów,lubelskie,<20k
JPT_0620012,zamojski,381,66,326,587,342,4597,1466,"31,9",1702,Adamów,lubelskie,<20k
JPT_0611032,łukowski,424,44,387,537,364,5511,1531,"27,8",1756,Adamów,lubelskie,<20k
JPT_1814022,przeworski,285,30,249,428,278,4025,1132,"28,1",1270,Adamówka,podkarpackie,<20k
JPT_0602022,biłgorajski,225,14,174,288,191,3269,779,"23,8",892,Aleksandrów,lubelskie,<20k
JPT_1010012,piotrkowski,434,61,341,552,424,4279,1615,"37,7",1812,Aleksandrów,łódzkie,<20k
JPT_0401011,aleksandrowski,1260,354,1358,1891,1398,12058,5679,"47,1",6261,Aleksandrów Kujawski,kujawsko-pomorskie,<20k
JPT_0401042,aleksandrowski,823,329,1322,1913,977,12015,4820,"40,1",5364,Aleksandrów Kujawski,kujawsko-pomorskie,<20k
JPT_1020043,zgierski,2886,798,3393,5759,2912,32685,14201,"43,4",15748,Aleksandrów Łódzki,łódzkie,20k-50k
JPT_1203013,chrzanowski,1101,305,1443,2064,1211,12490,5475,"43,8",6124,Alwernia,małopolskie,<20k
JPT_1006022,łódzki wschodni,1267,354,1441,2443,1367,14307,6276,"43,9",6872,Andrespol,łódzkie,<20k
JPT_1218013,wadowicki,3728,765,3993,6057,3684,43285,16068,"37,1",18227,Andrychów,małopolskie,20k-50k
JPT_1416022,ostrowski (mazowieckie),404,53,321,485,297,4022,1317,"32,7",1560,Andrzejewo,mazowieckie,<20k
JPT_0607023,kraśnicki,733,85,569,927,770,8483,2758,"32,5",3084,Annopol,lubelskie,<20k
JPT_2001011,augustowski,2675,432,2267,3672,2509,29946,10667,"35,6",11555,Augustów,podlaskie,20k-50k
JPT_2001022,augustowski,350,68,431,617,363,6742,1662,"24,7",1829,Augustów,podlaskie,<20k
JPT_3009022,kolski,541,77,581,917,558,7832,2235,"28,5",2674,Babiak,wielkopolskie,<20k
JPT_1203022,chrzanowski,842,192,999,1539,835,9084,3894,"42,9",4407,Babice,małopolskie,<20k
JPT_0809013,zielonogórski,589,94,604,944,629,6177,2580,"41,8",2860,Babimost,lubuskie,<20k
JPT_1602013,głubczycki,477,63,451,715,521,5901,2064,35,2227,Baborów,opolskie,<20k
JPT_1420032,płoński,608,129,670,1049,625,7913,2508,"31,7",3081,Baboszewo,mazowieckie,<20k
JPT_2012012,suwalski,160,28,202,271,224,3091,808,"26,1",885,Bakałarzewo,podlaskie,<20k
JPT_1821012,leski,235,22,165,316,222,3150,902,"28,6",960,Baligród,podkarpackie,<20k
JPT_3206012,gryfiński,463,100,517,819,595,6253,2074,"33,2",2494,Banie,zachodniopomorskie,<20k
JPT_2818012,gołdapski,331,50,261,441,342,3614,1272,"35,2",1425,Banie Mazurskie,warmińsko-mazurskie,<20k
JPT_1415012,ostrołęcki,481,57,398,700,415,6460,1745,27,2051,Baranowo,mazowieckie,<20k
JPT_1405032,grodziski (mazowieckie),388,128,560,825,404,5371,1918,"35,7",2305,Baranów,mazowieckie,<20k
JPT_3008012,kępiński,546,169,1068,1354,676,8020,3348,"41,7",3813,Baranów,wielkopolskie,<20k
JPT_0614022,puławski,371,49,286,472,302,3830,1225,32,1480,Baranów,lubelskie,<20k
JPT_1820013,tarnobrzeski,832,141,746,1276,807,11770,3426,"29,1",3802,Baranów Sandomierski,podkarpackie,<20k
JPT_2808022,kętrzyński,455,90,392,743,585,6030,1902,"31,5",2265,Barciany,warmińsko-mazurskie,<20k
JPT_0419013,żniński,1359,359,1351,2244,1430,14720,5986,"40,7",6743,Barcin,kujawsko-pomorskie,<20k
JPT_2814013,olsztyński,1311,458,1807,2920,1717,18142,7516,"41,4",8213,Barczewo,warmińsko-mazurskie,<20k
JPT_0224013,ząbkowicki,454,90,549,685,519,5210,2030,39,2297,Bardo,dolnośląskie,<20k
JPT_2001032,augustowski,385,52,304,494,332,5455,1422,"26,1",1567,Bargłów Kościelny,podlaskie,<20k
JPT_3210013,myśliborski,1700,299,1483,2551,1806,19220,7164,"37,3",7839,Barlinek,zachodniopomorskie,<20k
JPT_0402062,brodnicki,351,102,470,723,343,4708,1614,"34,3",1989,Bartniczka,kujawsko-pomorskie,<20k
JPT_2801011,bartoszycki,2443,577,2319,3789,2664,22984,10833,"47,1",11792,Bartoszyce,warmińsko-mazurskie,20k-50k
JPT_2801032,bartoszycki,683,237,1021,1567,913,10630,3897,"36,7",4421,Bartoszyce,warmińsko-mazurskie,<20k
JPT_0418022,włocławski,345,62,297,546,308,3407,1398,41,1558,Baruchowo,kujawsko-pomorskie,<20k
JPT_3215023,szczecinecki,640,105,594,1032,813,8457,2803,"33,1",3184,Barwice,zachodniopomorskie,<20k
JPT_0605012,janowski,251,36,166,348,224,3227,872,27,1025,Batorz,lubelskie,<20k
JPT_2606012,opatowski,370,46,328,568,353,4837,1400,"28,9",1665,Baćkowice,świętokrzyskie,<20k
JPT_2607022,ostrowiecki,332,32,226,398,342,3349,1143,"34,1",1330,Bałtów,świętokrzyskie,<20k
JPT_1002022,kutnowski,577,67,470,825,539,5263,1997,"37,9",2478,Bedlno,łódzkie,<20k
JPT_2603012,kazimierski,319,47,318,470,312,3982,1216,"30,5",1466,Bejsce,świętokrzyskie,<20k
JPT_1406012,grójecki,641,128,615,1005,581,6440,2623,"40,7",2970,Belsk Duży,mazowieckie,<20k
JPT_1817022,sanocki,258,36,258,418,275,4489,1168,26,1245,Besko,podkarpackie,<20k
JPT_2402022,bielski (śląskie),1056,284,1430,2146,1132,11950,5313,"44,5",6048,Bestwina,śląskie,<20k
JPT_1001011,bełchatowski,4030,877,5071,7671,7004,56419,22338,"39,6",24653,Bełchatów,łódzkie,50k-100k
JPT_1001022,bełchatowski,595,132,880,1589,954,11838,3712,"31,4",4150,Bełchatów,łódzkie,<20k
JPT_0618022,tomaszowski (lubelskie),238,50,218,374,262,3300,1036,"31,4",1142,Bełżec,lubelskie,<20k
JPT_0609013,lubelski,1043,170,1269,1738,1151,13167,4995,"37,9",5371,Bełżyce,lubelskie,<20k
JPT_1610013,prudnicki,816,123,710,960,623,10544,2989,"28,3",3232,Biała,opolskie,<20k
JPT_1017012,wieluński,471,66,467,730,423,5396,1937,"35,9",2157,Biała,łódzkie,<20k
JPT_2816013,piski,758,149,821,1274,789,11534,3316,"28,7",3791,Biała Piska,warmińsko-mazurskie,<20k
JPT_0661011,Biała Podlaska,4612,886,5248,7596,5794,56942,22232,39,24136,Biała Podlaska,lubelskie,50k-100k
JPT_0601032,bialski,666,249,1221,1773,838,14542,4303,"29,6",4747,Biała Podlaska,lubelskie,<20k
JPT_1013023,rawski,967,138,866,1329,912,11239,3446,"30,7",4212,Biała Rawska,łódzkie,<20k
JPT_1007012,opoczyński,465,52,404,665,438,5723,1731,"30,2",2024,Białaczów,łódzkie,<20k
JPT_0403012,bydgoski,1387,890,3041,5065,1794,23206,11004,"47,4",12177,Białe Błota,kujawsko-pomorskie,20k-50k
JPT_1401013,białobrzeski,978,244,1134,1648,1052,10236,4557,"44,5",5056,Białobrzegi,mazowieckie,<20k
JPT_1810022,łańcucki,563,81,612,961,537,8733,2549,"29,2",2754,Białobrzegi,podkarpackie,<20k
