population,total_vacc,new_vacc,total_vacc_2,new_vacc_2,slots_7,slots_30,date,powiat,wojew
57352,62842,313,29336,212,630,1521,2021-07-17,Biała Podlaska,lubelskie
297459,451559,993,211621,619,7632,16962,2021-07-17,Białystok,podlaskie
171259,191766,2360,86130,1942,1573,3683,2021-07-17,Bielsko-Biała,śląskie
350178,392649,2427,181862,1692,5990,11238,2021-07-17,Bydgoszcz,kujawsko-pomorskie
166795,132271,706,60891,502,1038,2310,2021-07-17,Bytom,śląskie
62670,55854,172,25077,86,133,347,2021-07-17,Chełm,lubelskie
108434,104101,455,48139,302,496,1695,2021-07-17,Chorzów,śląskie
222292,236432,1473,107842,1090,1829,4257,2021-07-17,Częstochowa,śląskie
120259,82638,731,37935,488,468,1682,2021-07-17,Dąbrowa Górnicza,śląskie
120142,112355,651,52354,421,794,941,2021-07-17,Elbląg,warmińsko-mazurskie
466631,760657,2000,360789,1392,8376,14316,2021-07-17,Gdańsk,pomorskie
246309,256401,1767,113456,1179,2738,8143,2021-07-17,Gdynia,pomorskie
179806,252619,794,117890,636,1772,3801,2021-07-17,Gliwice,śląskie
123921,130786,596,61375,386,1470,4178,2021-07-17,Gorzów Wielkopolski,lubuskie
95045,111150,1423,50446,1239,1022,2419,2021-07-17,Grudziądz,kujawsko-pomorskie
160647,95937,581,44381,508,9379,40401,2021-07-17,Inowrocław,kujawsko-pomorskie
89128,50912,542,23630,390,1191,1989,2021-07-17,Jastrzębie-Zdrój,śląskie
91563,84065,449,38451,304,289,1087,2021-07-17,Jaworzno,śląskie
79480,80797,370,37961,280,572,1004,2021-07-17,Jelenia Góra,dolnośląskie
100975,97095,358,45079,274,190,436,2021-07-17,Kalisz,wielkopolskie
294510,552087,1886,255444,1477,2503,5417,2021-07-17,Katowice,śląskie
195774,256713,1496,116762,1105,2868,7295,2021-07-17,Kielce,świętokrzyskie
74151,87723,601,39012,371,881,1621,2021-07-17,Konin,wielkopolskie
107321,110227,606,51155,475,2001,3007,2021-07-17,Koszalin,zachodniopomorskie
771069,1071477,7023,493905,5580,16746,40013,2021-07-17,Kraków,małopolskie
46511,39163,105,18698,32,310,1465,2021-07-17,Krosno,podkarpackie
99752,80919,573,37599,408,657,796,2021-07-17,Legnica,dolnośląskie
63952,62665,442,26393,226,1061,2083,2021-07-17,Leszno,wielkopolskie
339682,404316,1443,187316,826,4064,11923,2021-07-17,Lublin,lubelskie
74586,46025,237,21767,178,132,201,2021-07-17,Mysłowice,śląskie
83896,56309,540,26079,385,242,1190,2021-07-17,Nowy Sącz,małopolskie
172362,207275,1094,94213,845,3292,6831,2021-07-17,Olsztyn,warmińsko-mazurskie
128137,171722,622,80522,375,794,2803,2021-07-17,Opole,opolskie
52262,64897,152,30890,92,973,1238,2021-07-17,Ostrołęka,mazowieckie
55299,33671,282,15291,165,292,465,2021-07-17,Piekary Śląskie,śląskie
73670,68632,517,30714,365,664,1328,2021-07-17,Piotrków Trybunalski,łódzkie
536438,1007695,5773,464005,4456,17675,43184,2021-07-17,Poznań,wielkopolskie
61251,38890,256,18148,184,415,1611,2021-07-17,Przemyśl,podkarpackie
120000,114352,899,51322,486,428,855,2021-07-17,Płock,mazowieckie
213029,208916,1210,94734,898,3560,9767,2021-07-17,Radom,mazowieckie
138000,172434,349,81535,298,1380,1568,2021-07-17,Ruda Śląska,śląskie
138696,58511,694,26179,624,590,939,2021-07-17,Rybnik,śląskie
191564,513838,1042,242063,499,5676,11600,2021-07-17,Rzeszów,podkarpackie
77872,107264,524,50350,339,609,1889,2021-07-17,Siedlce,mazowieckie
67154,83638,256,39249,194,440,2031,2021-07-17,Siemianowice Śląskie,śląskie
48178,65724,293,30987,138,134,313,2021-07-17,Skierniewice,łódzkie
36046,88950,160,43139,107,304,2471,2021-07-17,Sopot,pomorskie
202036,194655,1071,89060,640,2080,2947,2021-07-17,Sosnowiec,śląskie
69827,48953,447,22827,235,1449,5060,2021-07-17,Suwałki,podlaskie
402465,526755,2015,241639,1396,9699,27463,2021-07-17,Szczecin,zachodniopomorskie
91007,101486,525,46533,438,186,775,2021-07-17,Słupsk,pomorskie
