jpt_nazwa_,Populacja,SZCZEPIENIA_SUMA,DAWKA_2_SUMA,DAWKA_2_DZIENNIE,JPT_KJ_I_2,SZCZEPIENIA_DZIENNIE
opolskie,986506,758906,346357,5610,t16,6721
świętokrzyskie,1241546,866234,375239,7670,t26,9728
kujawsko-pomorskie,2077775,1631383,697950,18585,t04,21411
mazowieckie,5403412,4811501,2097246,44892,t14,53018
pomorskie,2333523,2022861,896359,15339,t22,18146
śląskie,4533565,3723472,1633930,37041,t24,42655
warmińsko-mazurskie,1428983,1023145,444535,10237,t28,12537
zachodniopomorskie,1701030,1422505,624888,10229,t32,13019
dolnośląskie,2901225,2512947,1107493,23779,t02,28261
wielkopolskie,3493969,2814091,1198488,26496,t30,32905
łódzkie,2466322,2030650,896286,17907,t10,21163
podlaskie,1181533,915268,422588,5513,t20,6705
małopolskie,3400577,2561516,1096005,25245,t12,30053
lubuskie,1014548,846597,378698,6419,t08,7813
podkarpackie,2129015,1361537,627097,7329,t18,9744
lubelskie,2117619,1436711,642050,11527,t06,14094
