JPT,powiat,70+ lat,12-19 lat,20-39 lat,40-59 lat,60-69 lat,population,total_full,percent full,total_1d,nazwa,wojew,typ_p
JPT_0608022,lubartowski,354,52,279,461,304,4029,1303,"32,3",1450,Abramów,lubelskie,<20k
JPT_0620012,zamojski,381,66,327,588,342,4597,1469,32,1704,Adamów,lubelskie,<20k
JPT_0611032,łukowski,424,44,389,538,364,5511,1539,"27,9",1759,Adamów,lubelskie,<20k
JPT_1814022,przeworski,285,30,249,429,278,4025,1132,"28,1",1271,Adamówka,podkarpackie,<20k
JPT_0602022,biłgorajski,225,14,174,288,191,3269,780,"23,9",892,Aleksandrów,lubelskie,<20k
JPT_1010012,piotrkowski,435,68,355,564,429,4279,1684,"39,4",1851,Aleksandrów,łódzkie,<20k
JPT_0401011,aleksandrowski,1263,358,1374,1901,1404,12058,5720,"47,4",6300,Aleksandrów Kujawski,kujawsko-pomorskie,<20k
JPT_0401042,aleksandrowski,823,332,1329,1916,979,12015,4839,"40,3",5379,Aleksandrów Kujawski,kujawsko-pomorskie,<20k
JPT_1020043,zgierski,2887,803,3407,5772,2915,32685,14277,"43,7",15784,Aleksandrów Łódzki,łódzkie,20k-50k
JPT_1203013,chrzanowski,1104,315,1454,2068,1213,12490,5553,"44,5",6154,Alwernia,małopolskie,<20k
JPT_1006022,łódzki wschodni,1267,355,1446,2451,1368,14307,6318,"44,2",6887,Andrespol,łódzkie,<20k
JPT_1218013,wadowicki,3744,788,4053,6140,3700,43285,16550,"38,2",18425,Andrychów,małopolskie,20k-50k
JPT_1416022,ostrowski (mazowieckie),404,53,321,485,297,4022,1321,"32,8",1560,Andrzejewo,mazowieckie,<20k
JPT_0607023,kraśnicki,734,85,572,927,770,8483,2780,"32,8",3088,Annopol,lubelskie,<20k
JPT_2001011,augustowski,2675,433,2274,3676,2509,29946,10677,"35,7",11567,Augustów,podlaskie,20k-50k
JPT_2001022,augustowski,350,69,432,617,363,6742,1664,"24,7",1831,Augustów,podlaskie,<20k
JPT_3009022,kolski,541,78,586,926,560,7832,2263,"28,9",2691,Babiak,wielkopolskie,<20k
JPT_1203022,chrzanowski,844,198,1006,1547,837,9084,4020,"44,3",4432,Babice,małopolskie,<20k
JPT_0809013,zielonogórski,589,102,608,946,629,6177,2632,"42,6",2874,Babimost,lubuskie,<20k
JPT_1602013,głubczycki,477,64,451,716,522,5901,2070,"35,1",2230,Baborów,opolskie,<20k
JPT_1420032,płoński,608,129,673,1051,625,7913,2532,32,3086,Baboszewo,mazowieckie,<20k
JPT_2012012,suwalski,160,28,202,271,224,3091,813,"26,3",885,Bakałarzewo,podlaskie,<20k
JPT_1821012,leski,237,22,170,325,222,3150,918,"29,1",976,Baligród,podkarpackie,<20k
JPT_3206012,gryfiński,472,102,529,838,606,6253,2220,"35,5",2547,Banie,zachodniopomorskie,<20k
JPT_2818012,gołdapski,332,50,265,441,342,3614,1322,"36,6",1430,Banie Mazurskie,warmińsko-mazurskie,<20k
JPT_1415012,ostrołęcki,481,58,399,703,415,6460,1749,"27,1",2056,Baranowo,mazowieckie,<20k
JPT_1405032,grodziski (mazowieckie),389,128,562,828,405,5371,1950,"36,3",2312,Baranów,mazowieckie,<20k
JPT_3008012,kępiński,546,169,1074,1361,679,8020,3363,"41,9",3829,Baranów,wielkopolskie,<20k
JPT_0614022,puławski,371,49,286,472,302,3830,1229,"32,1",1480,Baranów,lubelskie,<20k
JPT_1820013,tarnobrzeski,834,143,750,1282,809,11770,3437,"29,2",3818,Baranów Sandomierski,podkarpackie,<20k
JPT_2808022,kętrzyński,455,90,394,744,586,6030,1911,"31,7",2269,Barciany,warmińsko-mazurskie,<20k
JPT_0419013,żniński,1362,361,1359,2257,1439,14720,6043,"41,1",6778,Barcin,kujawsko-pomorskie,<20k
JPT_2814013,olsztyński,1313,460,1822,2938,1720,18142,7576,"41,8",8253,Barczewo,warmińsko-mazurskie,<20k
JPT_0224013,ząbkowicki,454,90,550,686,521,5210,2044,"39,2",2301,Bardo,dolnośląskie,<20k
JPT_2001032,augustowski,386,52,304,496,332,5455,1426,"26,1",1570,Bargłów Kościelny,podlaskie,<20k
JPT_3210013,myśliborski,1700,301,1504,2556,1813,19220,7234,"37,6",7874,Barlinek,zachodniopomorskie,<20k
JPT_0402062,brodnicki,351,103,474,727,343,4708,1717,"36,5",1998,Bartniczka,kujawsko-pomorskie,<20k
JPT_2801011,bartoszycki,2443,577,2323,3790,2664,22984,10849,"47,2",11797,Bartoszyce,warmińsko-mazurskie,20k-50k
JPT_2801032,bartoszycki,683,237,1021,1567,913,10630,3902,"36,7",4421,Bartoszyce,warmińsko-mazurskie,<20k
JPT_0418022,włocławski,345,62,300,549,308,3407,1406,"41,3",1564,Baruchowo,kujawsko-pomorskie,<20k
JPT_3215023,szczecinecki,640,105,598,1034,813,8457,2813,"33,3",3190,Barwice,zachodniopomorskie,<20k
JPT_0605012,janowski,252,36,169,349,226,3227,877,"27,2",1032,Batorz,lubelskie,<20k
JPT_2606012,opatowski,370,46,329,568,353,4837,1405,29,1666,Baćkowice,świętokrzyskie,<20k
JPT_2607022,ostrowiecki,332,32,226,399,342,3349,1158,"34,6",1331,Bałtów,świętokrzyskie,<20k
JPT_1002022,kutnowski,578,67,473,827,539,5263,2007,"38,1",2484,Bedlno,łódzkie,<20k
JPT_2603012,kazimierski,319,47,319,471,313,3982,1229,"30,9",1469,Bejsce,świętokrzyskie,<20k
JPT_1406012,grójecki,641,131,617,1005,581,6440,2636,"40,9",2975,Belsk Duży,mazowieckie,<20k
JPT_1817022,sanocki,258,36,259,419,276,4489,1172,"26,1",1248,Besko,podkarpackie,<20k
JPT_2402022,bielski (śląskie),1058,291,1447,2160,1137,11950,5407,"45,2",6093,Bestwina,śląskie,<20k
JPT_1001011,bełchatowski,4030,879,5089,7685,7009,56419,22525,"39,9",24692,Bełchatów,łódzkie,50k-100k
JPT_1001022,bełchatowski,595,132,883,1592,954,11838,3735,"31,6",4156,Bełchatów,łódzkie,<20k
JPT_0618022,tomaszowski (lubelskie),238,50,218,374,262,3300,1038,"31,5",1142,Bełżec,lubelskie,<20k
JPT_0609013,lubelski,1043,171,1273,1741,1152,13167,5015,"38,1",5380,Bełżyce,lubelskie,<20k
JPT_1610013,prudnicki,817,123,714,963,623,10544,3015,"28,6",3240,Biała,opolskie,<20k
JPT_1017012,wieluński,472,66,477,735,427,5396,1963,"36,4",2177,Biała,łódzkie,<20k
JPT_2816013,piski,758,149,823,1274,789,11534,3320,"28,8",3793,Biała Piska,warmińsko-mazurskie,<20k
JPT_0661011,Biała Podlaska,4612,886,5266,7605,5796,56942,22332,"39,2",24165,Biała Podlaska,lubelskie,50k-100k
JPT_0601032,bialski,666,249,1222,1779,838,14542,4324,"29,7",4754,Biała Podlaska,lubelskie,<20k
JPT_1013023,rawski,969,140,895,1360,921,11239,3534,"31,4",4285,Biała Rawska,łódzkie,<20k
JPT_1007012,opoczyński,465,58,409,671,438,5723,1766,"30,9",2041,Białaczów,łódzkie,<20k
JPT_0403012,bydgoski,1387,894,3053,5073,1794,23206,11069,"47,7",12201,Białe Błota,kujawsko-pomorskie,20k-50k
JPT_1401013,białobrzeski,979,244,1138,1648,1053,10236,4576,"44,7",5062,Białobrzegi,mazowieckie,<20k
JPT_1810022,łańcucki,563,81,614,963,538,8733,2558,"29,3",2759,Białobrzegi,podkarpackie,<20k
JPT_3201011,białogardzki,2380,483,2057,3452,2370,23950,9752,"40,7",10742,Białogard,zachodniopomorskie,20k-50k
JPT_3201022,białogardzki,403,114,592,978,596,7543,2375,"31,5",2683,Białogard,zachodniopomorskie,<20k
JPT_0603022,chełmski,240,41,203,300,258,2836,904,"31,9",1042,Białopole,lubelskie,<20k
JPT_2005022,hajnowski,296,30,151,300,199,2130,906,"42,5",976,Białowieża,podlaskie,<20k
JPT_3019022,pilski,359,115,461,744,454,4809,1769,"36,8",2133,Białośliwie,wielkopolskie,<20k
JPT_3215033,szczecinecki,433,113,454,690,565,5275,2071,"39,3",2255,Biały Bór,zachodniopomorskie,<20k
JPT_1217022,tatrzański,217,40,367,473,260,7166,1193,"16,6",1357,Biały Dunajec,małopolskie,<20k
JPT_2061011,Białystok,28444,5107,31974,42910,26125,296958,126826,"42,7",134560,Białystok,podlaskie,>100k
JPT_1205023,gorlicki,1074,161,1094,1624,1074,16742,4483,"26,8",5027,Biecz,małopolskie,<20k
JPT_1429022,sokołowski,343,30,290,449,327,3558,1283,"36,1",1439,Bielany,mazowieckie,<20k
JPT_0202011,dzierżoniowski,3235,427,2114,3490,3010,29523,11069,"37,5",12277,Bielawa,dolnośląskie,20k-50k
JPT_1005022,łowicki,565,77,413,759,488,5267,2015,"38,3",2302,Bielawy,łódzkie,<20k
JPT_3212012,pyrzycki,211,91,314,526,279,3142,1168,"37,2",1421,Bielice,zachodniopomorskie,<20k
JPT_2604012,kielecki,610,132,967,1387,783,10260,3351,"32,7",3879,Bieliny,świętokrzyskie,<20k
JPT_1419012,płocki,594,166,928,1369,672,9053,3027,"33,4",3729,Bielsk,mazowieckie,<20k
JPT_2003011,bielski (podlaskie),2190,222,1661,2869,2331,25044,8541,"34,1",9273,Bielsk Podlaski,podlaskie,20k-50k
JPT_2003032,bielski (podlaskie),735,37,255,539,386,6501,1761,"27,1",1952,Bielsk Podlaski,podlaskie,<20k
JPT_2461011,Bielsko-Biała,19931,3886,19616,26744,17116,169756,78287,"46,1",87293,Bielsko-Biała,śląskie,>100k
JPT_1603022,kędzierzyńsko-kozielski,589,114,618,851,560,7895,2465,"31,2",2732,Bierawa,opolskie,<20k
JPT_0214023,oleśnicki,821,169,909,1373,962,9873,3725,"37,7",4234,Bierutów,dolnośląskie,<20k
JPT_2414011,bieruńsko-lędziński,1386,425,2309,3047,2000,19375,8277,"42,7",9167,Bieruń,śląskie,<20k
JPT_3202012,choszczeński,495,110,448,741,514,4666,2125,"45,5",2308,Bierzwnik,zachodniopomorskie,<20k
JPT_3209022,koszaliński,483,133,753,1265,686,7199,3069,"42,6",3320,Biesiekierz,zachodniopomorskie,<20k
JPT_1437013,żuromiński,414,49,407,589,418,4903,1585,"32,3",1877,Bieżuń,mazowieckie,<20k
JPT_1813012,przemyski,386,47,359,640,426,6470,1580,"24,4",1858,Bircza,podkarpackie,<20k
JPT_1219012,wielicki,638,185,1172,1663,824,10556,3996,"37,9",4482,Biskupice,małopolskie,<20k
JPT_2812022,nowomiejski,626,136,778,1121,716,9319,2837,"30,4",3377,Biskupiec,warmińsko-mazurskie,<20k
JPT_2814023,olsztyński,1592,352,1587,2655,1946,18913,7052,"37,3",8132,Biskupiec,warmińsko-mazurskie,<20k
JPT_0602042,biłgorajski,310,35,246,407,323,3717,1189,32,1321,Biszcza,lubelskie,<20k
JPT_2801043,bartoszycki,479,97,452,817,626,6198,2219,"35,8",2471,Bisztynek,warmińsko-mazurskie,<20k
JPT_0602011,biłgorajski,2439,388,1851,3106,2302,26114,9255,"35,4",10086,Biłgoraj,lubelskie,20k-50k
JPT_0602032,biłgorajski,675,144,759,1326,811,13381,3305,"24,7",3715,Biłgoraj,lubelskie,<20k
JPT_2404013,częstochowski,1305,289,1300,2041,1416,12831,5678,"44,3",6351,Blachownia,śląskie,<20k
JPT_0803012,międzyrzecki,390,90,435,632,439,4281,1808,"42,2",1986,Bledzew,lubuskie,<20k
JPT_3007012,kaliski,689,173,978,1489,832,9932,3647,"36,7",4161,Blizanów,wielkopolskie,<20k
JPT_2610022,skarżyski,717,75,590,1007,671,7995,2580,"32,3",3060,Bliżyn,świętokrzyskie,<20k
JPT_3209033,koszaliński,730,168,766,1255,895,8857,3420,"38,6",3814,Bobolice,zachodniopomorskie,<20k
JPT_1205033,gorlicki,577,114,746,1080,600,9805,2710,"27,6",3117,Bobowa,małopolskie,<20k
JPT_2213042,starogardzki,158,67,261,385,188,3199,880,"27,5",1059,Bobowo,pomorskie,<20k
JPT_0802022,krośnieński (lubuskie),261,73,300,488,312,3161,1224,"38,7",1434,Bobrowice,lubuskie,<20k
JPT_2401042,będziński,1398,372,1394,2377,1351,12122,6410,"52,9",6892,Bobrowniki,śląskie,<20k
JPT_0408022,lipnowski,194,46,285,475,240,3093,1143,37,1240,Bobrowniki,kujawsko-pomorskie,<20k
JPT_0402022,brodnicki,457,117,560,816,534,6337,2183,"34,4",2484,Bobrowo,kujawsko-pomorskie,<20k
JPT_1201011,bocheński,2975,683,3324,4651,2811,29554,13037,"44,1",14444,Bochnia,małopolskie,20k-50k
JPT_1201022,bocheński,1203,310,2048,2710,1405,20152,6760,"33,5",7676,Bochnia,małopolskie,20k-50k
JPT_1419022,płocki,739,153,790,1260,814,8152,3227,"39,6",3756,Bodzanów,mazowieckie,<20k
JPT_2607032,ostrowiecki,1266,241,1071,1864,1307,13177,5023,"38,1",5749,Bodzechów,świętokrzyskie,<20k
JPT_2604023,kielecki,712,87,929,1305,858,11426,3351,"29,3",3891,Bodzentyn,świętokrzyskie,<20k
JPT_0225033,zgorzelecki,1775,318,1855,3361,2196,22633,8669,"38,3",9505,Bogatynia,dolnośląskie,20k-50k
JPT_0801022,gorzowski,521,145,635,1088,579,7122,2718,"38,2",2968,Bogdaniec,lubuskie,<20k
JPT_2612012,staszowski,670,93,713,1045,656,7641,2804,"36,7",3177,Bogoria,świętokrzyskie,<20k
JPT_1816033,rzeszowski,1515,309,1833,2707,1392,20916,7249,"34,7",7756,Boguchwała,podkarpackie,20k-50k
JPT_0221011,wałbrzyski,1420,222,1222,1932,1568,15154,5780,"38,1",6364,Boguszów-Gorce,dolnośląskie,<20k
JPT_1416032,ostrowski (mazowieckie),249,36,197,315,234,2558,904,"35,3",1031,Boguty-Pianki,mazowieckie,<20k
JPT_0809022,zielonogórski,287,47,284,455,325,3282,1262,"38,5",1398,Bojadła,lubuskie,<20k
JPT_3022013,rawicki,785,182,879,1257,805,8710,3210,"36,9",3908,Bojanowo,wielkopolskie,<20k
JPT_1818022,stalowowolski,304,63,305,505,331,7621,1299,17,1508,Bojanów,podkarpackie,<20k
JPT_2414042,bieruńsko-lędziński,490,200,1027,1359,632,8045,3333,"41,4",3708,Bojszowy,śląskie,<20k
JPT_3210022,myśliborski,176,46,210,343,228,2846,893,"31,4",1003,Boleszkowice,zachodniopomorskie,<20k
JPT_1204012,dąbrowski,192,16,130,239,151,2586,665,"25,7",728,Bolesław,małopolskie,<20k
JPT_1212032,olkuski,828,158,724,1194,756,7727,3407,"44,1",3660,Bolesław,małopolskie,<20k
JPT_0201011,bolesławiecki,4759,576,3437,5036,4021,38486,16315,"42,4",17829,Bolesławiec,dolnośląskie,20k-50k
JPT_0201022,bolesławiecki,855,219,1300,1957,1154,14863,4926,"33,1",5485,Bolesławiec,dolnośląskie,<20k
JPT_1018012,wieruszowski,344,53,363,564,372,4075,1478,"36,3",1696,Bolesławiec,łódzkie,<20k
JPT_1015012,skierniewicki,383,79,408,591,376,4026,1667,"41,4",1837,Bolimów,łódzkie,<20k
JPT_0205023,jaworski,893,186,763,1264,1057,10311,3864,"37,5",4163,Bolków,dolnośląskie,<20k
JPT_0418032,włocławski,331,75,381,545,265,3346,1325,"39,6",1597,Boniewo,kujawsko-pomorskie,<20k
JPT_3004013,gostyński,580,117,630,1026,675,7441,2458,33,3028,Borek Wielkopolski,wielkopolskie,<20k
JPT_0615022,radzyński,382,49,299,553,403,5961,1563,"26,2",1686,Borki,lubelskie,<20k
JPT_1423012,przysuski,396,45,365,541,383,4234,1445,"34,1",1730,Borkowice,mazowieckie,<20k
JPT_3215043,szczecinecki,1087,222,812,1398,974,9840,4023,"40,9",4493,Borne Sulinowo,zachodniopomorskie,<20k
JPT_2407022,lubliniecki,273,57,311,449,273,3449,1155,"33,5",1363,Boronów,śląskie,<20k
JPT_1811022,mielecki,425,51,434,579,380,5490,1704,31,1869,Borowa,podkarpackie,<20k
JPT_1403032,garwoliński,409,73,509,722,432,5231,1872,"35,8",2145,Borowie,mazowieckie,<20k
JPT_0609022,lubelski,259,37,251,398,257,3777,1093,"28,9",1202,Borzechów,lubelskie,<20k
JPT_2201012,bytowski,164,35,273,380,194,3399,860,"25,3",1046,Borzytuchom,pomorskie,<20k
JPT_1202012,brzeski (małopolskie),575,84,626,955,565,8267,2519,"30,5",2805,Borzęcin,małopolskie,<20k
JPT_0217012,strzeliński,463,124,551,882,507,5238,2083,"39,8",2527,Borów,dolnośląskie,<20k
JPT_2003042,bielski (podlaskie),486,29,226,406,281,4099,1337,"32,6",1428,Boćki,podlaskie,<20k
JPT_3008022,kępiński,462,118,642,881,512,6084,2348,"38,6",2615,Bralin,wielkopolskie,<20k
JPT_1602022,głubczycki,677,122,568,1006,719,6363,2889,"45,4",3092,Branice,opolskie,<20k
JPT_2802011,braniewski,1475,346,1962,2685,1718,16974,7386,"43,5",8186,Braniewo,warmińsko-mazurskie,<20k
JPT_2802022,braniewski,332,93,606,703,495,6013,1939,"32,2",2229,Braniewo,warmińsko-mazurskie,<20k
JPT_2003021,bielski (podlaskie),330,38,284,433,346,3694,1334,"36,1",1431,Brańsk,podlaskie,<20k
JPT_2003052,bielski (podlaskie),585,52,300,509,348,5566,1619,"29,1",1794,Brańsk,podlaskie,<20k
JPT_1435012,wyszkowski,629,111,584,1061,634,8110,2422,"29,9",3019,Brańszczyk,mazowieckie,<20k
JPT_2403042,cieszyński,853,182,934,1384,921,11373,3683,"32,4",4274,Brenna,śląskie,<20k
JPT_1428022,sochaczewski,374,97,412,672,402,4375,1675,"38,3",1957,Brochów,mazowieckie,<20k
JPT_0402011,brodnicki,2622,750,3462,4773,2992,28701,12945,"45,1",14599,Brodnica,kujawsko-pomorskie,20k-50k
JPT_0402032,brodnicki,373,210,1018,1397,577,8662,3060,"35,3",3575,Brodnica,kujawsko-pomorskie,<20k
JPT_3026012,śremski,316,119,603,772,423,4902,1847,"37,7",2233,Brodnica,wielkopolskie,<20k
JPT_2611022,starachowicki,829,153,836,1420,826,10760,3639,"33,8",4064,Brody,świętokrzyskie,<20k
JPT_0811032,żarski,227,70,294,425,314,3364,1187,"35,3",1330,Brody,lubuskie,<20k
JPT_3205012,gryficki,218,71,345,432,311,3664,1112,"30,3",1377,Brojce,zachodniopomorskie,<20k
JPT_1416043,ostrowski (mazowieckie),192,39,194,317,224,2780,866,"31,2",966,Brok,mazowieckie,<20k
JPT_3027022,turecki,465,78,493,803,462,5958,1784,"29,9",2301,Brudzew,wielkopolskie,<20k
JPT_1419032,płocki,620,154,746,1212,636,8236,2784,"33,8",3368,Brudzeń Duży,mazowieckie,<20k
JPT_2202023,chojnicki,933,211,1307,1892,991,14627,4559,"31,2",5334,Brusy,pomorskie,<20k
JPT_1421033,pruszkowski,2464,945,3857,5574,2547,26812,13842,"51,6",15387,Brwinów,mazowieckie,20k-50k
JPT_1601011,brzeski (opolskie),3815,481,3033,4297,3208,35226,13682,"38,8",14834,Brzeg,opolskie,20k-50k
