population,total_vacc,new_vacc,total_vacc_2,new_vacc_2,slots_7,slots_30,date,powiat,wojew
57352,62990,0,29431,0,673,1452,2021-07-19,Biała Podlaska,lubelskie
297459,452335,80,211932,32,7702,16160,2021-07-19,Białystok,podlaskie
171259,194377,845,88078,608,1810,3626,2021-07-19,Bielsko-Biała,śląskie
350178,395235,384,183482,214,5129,9619,2021-07-19,Bydgoszcz,kujawsko-pomorskie
166795,132849,0,61332,0,1062,2460,2021-07-19,Bytom,śląskie
62670,56416,190,25453,125,213,354,2021-07-19,Chełm,lubelskie
108434,104590,173,48445,108,597,1710,2021-07-19,Chorzów,śląskie
222292,237616,51,108803,45,2023,4304,2021-07-19,Częstochowa,śląskie
120259,82866,0,38105,0,434,1555,2021-07-19,Dąbrowa Górnicza,śląskie
120142,112911,0,52674,0,742,950,2021-07-19,Elbląg,warmińsko-mazurskie
466631,763357,464,362331,259,8328,14217,2021-07-19,Gdańsk,pomorskie
246309,258119,189,114788,105,3308,8808,2021-07-19,Gdynia,pomorskie
179806,254004,349,118670,228,1558,3170,2021-07-19,Gliwice,śląskie
123921,131957,219,62190,171,2193,4687,2021-07-19,Gorzów Wielkopolski,lubuskie
95045,111356,0,50601,0,1041,2260,2021-07-19,Grudziądz,kujawsko-pomorskie
160647,96374,22,44744,22,9739,37820,2021-07-19,Inowrocław,kujawsko-pomorskie
89128,51318,104,23823,46,1116,1460,2021-07-19,Jastrzębie-Zdrój,śląskie
91563,84574,0,38877,0,365,1135,2021-07-19,Jaworzno,śląskie
79480,81008,0,38110,0,454,905,2021-07-19,Jelenia Góra,dolnośląskie
100975,97758,0,45327,0,399,676,2021-07-19,Kalisz,wielkopolskie
294510,554673,583,257190,319,2519,5801,2021-07-19,Katowice,śląskie
195774,258449,373,118073,205,2715,6532,2021-07-19,Kielce,świętokrzyskie
74151,88259,111,39357,92,922,1619,2021-07-19,Konin,wielkopolskie
107321,110601,0,51419,0,1253,1973,2021-07-19,Koszalin,zachodniopomorskie
771069,1080220,2312,500682,1601,16061,37621,2021-07-19,Kraków,małopolskie
46511,39260,16,18747,16,338,1518,2021-07-19,Krosno,podkarpackie
99752,81294,0,37821,0,650,756,2021-07-19,Legnica,dolnośląskie
63952,63730,89,27248,88,1822,2115,2021-07-19,Leszno,wielkopolskie
339682,405463,320,188003,144,3898,12069,2021-07-19,Lublin,lubelskie
74586,46130,0,21834,0,121,213,2021-07-19,Mysłowice,śląskie
83896,56578,0,26309,0,285,1156,2021-07-19,Nowy Sącz,małopolskie
