jpt_nazwa_,Populacja,SZCZEPIENIA_SUMA,DAWKA_2_SUMA,DAWKA_2_DZIENNIE,JPT_KJ_I_2,SZCZEPIENIA_DZIENNIE
opolskie,986506,793813,371524,213,t16,370
świętokrzyskie,1241546,930298,422165,561,t26,1199
kujawsko-pomorskie,2077775,1763451,800301,1454,t04,2395
mazowieckie,5403412,5150621,2363401,6157,t14,8210
pomorskie,2333523,2151947,992800,1145,t22,1941
śląskie,4533565,3970392,1823498,2829,t24,4504
warmińsko-mazurskie,1428983,1104869,506198,623,t28,904
zachodniopomorskie,1701030,1511169,688706,627,t32,1481
dolnośląskie,2901225,2667464,1224722,1604,t02,2381
wielkopolskie,3493969,3064013,1394551,4153,t30,5394
łódzkie,2466322,2164669,997650,1253,t10,2002
podlaskie,1181533,951220,446633,60,t20,160
małopolskie,3400577,2777412,1263596,3279,t12,6052
lubuskie,1014548,898910,416971,630,t08,1269
podkarpackie,2129015,1417765,662181,80,t18,600
lubelskie,2117619,1517213,700100,618,t06,1228
